thread,ops per thread,throughput,bandwith,CN util avg,CN P50,CN P90,CN P99,MN util avg,MN P50,MN P90,MN P99,insert lat P50,insert P90,insert P99,insert P999
1,5000000,737997,295.6,0.838926,0.838926,1.258389,1.258389,0.710372,0.810962,0.810962,0.810962,1002,1839,3175,5738
1,5000000,724724,290.3,0.869762,1.258389,1.258389,1.258389,0.791538,0.796269,0.796269,0.796269,1017,1967,3298,6056
2,5000000,1038065,415.8,0.864745,1.258389,1.258389,1.258389,0.785460,0.810488,0.810488,0.810488,1116,1888,3289,6059
2,5000000,1275542,510.9,0.871162,1.258389,1.258389,1.258389,0.754290,0.754290,0.754290,0.754290,1114,1782,3240,6087
4,5000000,874944,350.5,0.873159,1.258389,1.258389,1.258389,0.776096,0.824707,0.824707,0.824707,1340,2393,3991,8084
4,5000000,766830,307.1,0.879231,1.258389,1.258389,1.258389,0.678734,0.797668,0.797668,0.797668,1377,2538,4465,8922
8,5000000,726899,291.2,0.857830,1.258389,1.258389,1.258389,0.712889,0.712889,0.712889,0.712889,0,0,0,0
8,5000000,673482,269.8,0.869005,1.258389,1.258389,1.258389,0.586448,0.586448,0.586448,0.586448,1443,2436,4034,8254
16,5000000,0,0,0.883827,1.258389,1.258389,1.258389,0.697069,0.697069,0.697069,0.697069,0,0,0,0
16,5000000,0,0,0.850553,0.838926,1.258389,1.258389,0.778055,0.796269,0.796269,0.796269,0,0,0,0
