thread,ops per thread,throughput,bandwith,CN util avg,CN P50,CN P90,CN P99,MN util avg,MN P50,MN P90,MN P99,insert lat P50,insert P90,insert P99,insert P999
1,5000000,779107,312.1,0.864348,1.258389,1.258389,1.258389,2.040123,3.775168,9.507830,15.939597,910,1626,4782,7269
1,5000000,837092,335.3,0.859990,1.258389,1.258389,1.258389,0.572529,0.572529,0.572529,0.572529,908,1482,2969,5826
2,5000000,1330723,533.0,0.845106,0.838926,1.258389,1.258389,5.387840,12.583893,20.134228,23.909396,1061,1602,2986,5714
2,5000000,889673,356.4,0.863630,1.258389,1.258389,1.677852,0.555289,0.555289,0.555289,0.555289,1064,1686,3043,6103
4,5000000,1895174,759.1,0.873616,1.258389,1.258389,1.258389,0.614933,0.614933,0.614933,0.614933,1154,1816,3124,6227
4,5000000,1081488,433.2,0.868822,1.258389,1.258389,1.677852,0.676509,0.676509,0.676509,0.676509,1152,1808,3100,6297
4,5000000,782302,313.3,0.861564,1.258389,1.258389,1.258389,0.615050,0.615050,0.615050,0.615050,1148,1733,3067,6250
4,5000000,907603,363.5,0.861141,1.258389,1.258389,1.258389,0.606192,0.606192,0.606192,0.606192,1149,1779,3132,6306
8,5000000,705064,282.4,0.866374,1.258389,1.258389,1.258389,0.608898,0.608898,0.608898,0.608898,1318,2161,3714,8268
8,5000000,938897,376.1,0.868096,1.258389,1.258389,1.258389,0.803066,1.635195,1.635195,1.635195,1233,1935,3192,6709
8,5000000,916057,366.9,0.875731,1.258389,1.258389,1.677852,0.712621,0.712621,0.712621,0.712621,1336,2225,3779,8621
8,5000000,693392,277.7,0.865264,1.258389,1.258389,1.258389,0.717217,0.717217,0.717217,0.717217,1505,2504,4382,9427
16,5000000,556224,222.8,0.866166,1.258389,1.258389,1.677852,17.206019,28.104027,39.010067,45.721477,1819,2879,5027,10331
16,5000000,534517,214.1,0.856981,1.258389,1.258389,1.677852,0.728028,0.825173,0.825173,0.825173,1681,2725,4768,9942
16,5000000,691598,277.0,0.880050,1.258389,1.258389,1.258389,0.756640,0.796980,0.796980,0.796980,1596,2623,4710,9910
